sep=,
"Name","Color","Image name","Series","Deviation","Mean","Max","Min","Sum","No. Pixels/Voxels","Hard Area/Volume ","SUV Peak by 1cm3"
"Heart_R64_4h","","NM( %ID/g )","4h_adjustHU_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC","0.5437","0.4513","2.75","0.01536","1.89","31933","4.18","N/A"
"Heart_R64_30m","","CT( HU )","CTRecon,30m CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0","341.72","107.94","3484","-1000","3.96576e+07","367415","5.77","N/A"
"Heart_R64_30m","","NM( %ID/g )","30m_adjustHU_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC","0.5159","0.4376","2.96","0.03979","2.53","44202","5.79","N/A"
"Heart_R64_4h","","CT( HU )","CTRecon,4h CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0","265.89","21.62","3367","-854","5.76365e+06","266549","4.19","N/A"
