sep=,
"Name","Color","Image name","Series","Deviation","Mean","Max","Min","Sum","TLG","No. Pixels/Voxels","Hard Area/Volume "
"Heart","","NM( %ID/g )","DCA_adjustHU_2_4h_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC_Registered","0.3706","1.77","2.89","0.6107","0.83","N/A","3309","0.4685"
"Box","","NM( %ID/g )","DCA_adjustHU_2_4h_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC_Registered","0.5357","0.4249","2.89","0.01597","2.25","N/A","37468","5.3"
"Box","","CT( HU )","BR_CTRecon,30m CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0","307.81","97.9","3816","-1000","3.31479e+07","N/A","338599","5.32"
"Heart","","CT( HU )","BR_CTRecon,30m CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0","115.82","170.09","504","-429","5.28627e+06","N/A","31080","0.4882"
"Heart","","CT( HU )","BR_CTRecon,4h CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0_Registered","85.24","181.29","430.43","-305.42","5.10251e+06","N/A","28146","0.478"
"Box","","CT( HU )","BR_CTRecon,4h CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0_Registered","287.75","113.22","3194.25","-1000","3.53733e+07","N/A","312432","5.31"
"Box","","NM( %ID/g )","DCA_adjustHU_2_30m_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC","0.5243","0.4606","2.98","0.04078","2.45","N/A","40565","5.31"
"Heart","","NM( %ID/g )","DCA_adjustHU_2_30m_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC","0.3386","1.85","2.98","1.35","0.8925","N/A","3688","0.4829"
