sep=,
"Name","Color","Image name","Series","Deviation","Mean","Max","Min","Sum","TLG","No. Pixels/Voxels","Hard Area/Volume "
"Heart","","NM( %ID/g )","DCA_adjustHU_2_4h_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC_Registered","0.4587","1.82","3.17","0.5343","1","N/A","3661","0.551"
"Box","","NM( %ID/g )","DCA_adjustHU_2_4h_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC_Registered","0.5799","0.4869","3.17","0.02533","2.43","N/A","33180","4.99"
"Heart","","CT( HU )","BR_CTRecon,4h CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0_Registered","74.33","214.62","1713.56","-195.3","6.48204e+06","N/A","30202","0.5453"
"Box","","CT( HU )","BR_CTRecon,4h CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0_Registered","297.11","193.38","3195.24","-1000","5.38242e+07","N/A","278340","5.02"
"Box","","CT( HU )","BR_CTRecon,30m CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0","317.49","188.63","3648","-1000","6.07266e+07","N/A","321930","5.06"
"Heart","","CT( HU )","BR_CTRecon,30m CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0","100.22","212.47","593","-329","7.50679e+06","N/A","35331","0.555"
"Box","","NM( %ID/g )","DCA_adjustHU_2_30m_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC","0.56","0.5044","3.19","0.0402","2.57","N/A","38936","5.1"
"Heart","","NM( %ID/g )","DCA_adjustHU_2_30m_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC","0.394","1.9","3.19","1.3","1.05","N/A","4225","0.5533"
