sep=,
"Name","Color","Image name","Series","Deviation","Mean","Max","Min","Sum","TLG","No. Pixels/Voxels","Hard Area/Volume "
"Heart","","CT( HU )","BR_CTRecon,30m CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0","98.2","75.56","439","-439","3.9698e+06","N/A","52540","0.8253"
"Box","","CT( HU )","BR_CTRecon,30m CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0","219.56","24.72","3177","-842","8.93371e+06","N/A","361416","5.68"
"Heart","","NM( %ID/g )","DCA_adjustHU_2_30m_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC","0.2801","1.31","2.51","0.8856","1.11","N/A","6492","0.8501"
"Box","","NM( %ID/g )","DCA_adjustHU_2_30m_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC","0.4348","0.4022","2.51","0.02808","2.32","N/A","43956","5.76"
"Box","","NM( %ID/g )","DCA_adjustHU_2_4h_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC_Registered","0.3985","0.3456","1.95","0.01068","1.97","N/A","43527","5.7"
"Heart","","NM( %ID/g )","DCA_adjustHU_2_4h_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC_Registered","0.2792","1.14","1.95","0.3347","0.9654","N/A","6492","0.8501"
"Box","","CT( HU )","BR_CTRecon,4h CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0_Registered","185.98","19.36","2550.14","-641.44","7.10483e+06","N/A","366892","5.76"
"Heart","","CT( HU )","BR_CTRecon,4h CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0_Registered","92.07","54.72","277.33","-461.01","2.97523e+06","N/A","54376","0.8541"
